genome_id	assembly_accession	organism_name	taxonomy_source	taxonomy_string	phylum	class	order_name	family	genus	species
BURK__GCA-001307665-1	GCA_001307665.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001605465-1	GCA_001605465.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-002068975-1	GCA_002068975.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001985705-1	GCA_001985705.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001986515-1	GCA_001986515.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001988175-1	GCA_001988175.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-002286175-1	GCA_002286175.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001986295-1	GCA_001986295.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001986655-1	GCA_001986655.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001605235-1	GCA_001605235.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001985505-1	GCA_001985505.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001987995-1	GCA_001987995.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-002859705-1	GCA_002859705.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-004008595-1	GCA_004008595.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001985445-1	GCA_001985445.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001988735-1	GCA_001988735.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-004634845-1	GCA_004634845.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001985685-1	GCA_001985685.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001987035-1	GCA_001987035.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001987235-1	GCA_001987235.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001987935-1	GCA_001987935.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001988015-1	GCA_001988015.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
