lineage	scope	seed	panel_id	scenario	approach	n_leaves	n_contaminants	n_predicted	n_true_positive	n_false_positive	precision	recall	f1	tree_rf_delta	collateral_genome_loss_count	runtime_seconds	status
chlam	order	101	chlam_order	combined	recipient_consensus	0	4	3	3	0	1.0	0.75	0.8571428571428571	0.0425531914893616	0	0.0	ok
chlam	order	101	chlam_order	combined	gcp	486	4	7	3	4	0.42857142857142855	0.75	0.5454545454545454	0.0	0	0.22771573066711426	ok
chlam	order	101	chlam_order	combined	cmtv	486	4	25	0	25	0.0	0.0	0.0	0.0	0	0.21966814994812012	ok
chlam	order	101	chlam_order	combined	plie	486	4	20	4	16	0.2	1.0	0.33333333333333337	0.0	0	0.3338499069213867	ok
chlam	order	202	chlam_order	replacement_only	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0212765957446808	0	0.0	ok
chlam	order	202	chlam_order	replacement_only	gcp	486	4	6	3	3	0.5	0.75	0.6	0.0	0	0.23572993278503418	ok
chlam	order	202	chlam_order	replacement_only	cmtv	486	4	27	3	24	0.1111111111111111	0.75	0.19354838709677416	0.0	0	0.22567415237426758	ok
chlam	order	202	chlam_order	replacement_only	plie	486	4	19	4	15	0.21052631578947367	1.0	0.34782608695652173	0.0	0	0.30806517601013184	ok
chlam	order	202	chlam_order	combined	recipient_consensus	0	4	4	4	0	1.0	1.0	1.0	0.1063829787234042	0	0.0	ok
chlam	order	202	chlam_order	combined	gcp	486	4	9	4	5	0.4444444444444444	1.0	0.6153846153846153	0.0	0	0.22786450386047363	ok
chlam	order	202	chlam_order	combined	cmtv	486	4	25	0	25	0.0	0.0	0.0	0.0	0	0.22263360023498535	ok
chlam	order	202	chlam_order	combined	plie	486	4	23	4	19	0.17391304347826086	1.0	0.29629629629629634	0.0	0	0.33745241165161133	ok
chlam	order	303	chlam_order	replacement_only	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.0212765957446808	0	0.0	ok
chlam	order	303	chlam_order	replacement_only	gcp	486	4	6	4	2	0.6666666666666666	1.0	0.8	0.0	0	0.22684407234191895	ok
chlam	order	303	chlam_order	replacement_only	cmtv	486	4	21	0	21	0.0	0.0	0.0	0.0	0	0.24782609939575195	ok
chlam	order	303	chlam_order	replacement_only	plie	486	4	20	4	16	0.2	1.0	0.33333333333333337	0.0	0	0.2861461639404297	ok
chlam	order	303	chlam_order	combined	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.1276595744680851	0	0.0	ok
chlam	order	303	chlam_order	combined	gcp	486	4	8	3	5	0.375	0.75	0.5	0.0	0	0.23655223846435547	ok
chlam	order	303	chlam_order	combined	cmtv	486	4	28	1	27	0.03571428571428571	0.25	0.0625	0.0	0	0.22079133987426758	ok
chlam	order	303	chlam_order	combined	plie	486	4	28	3	25	0.10714285714285714	0.75	0.1875	0.0	0	0.27440500259399414	ok
chlam	mixed_high_level	101	chlam_mixed_high_level	mixed_high_level	recipient_consensus	0	5	2	2	0	1.0	0.4	0.5714285714285715	0.0425531914893617	0	0.0	ok
chlam	mixed_high_level	101	chlam_mixed_high_level	mixed_high_level	gcp	486	5	6	4	2	0.6666666666666666	0.8	0.7272727272727272	0.0	0	0.2282578945159912	ok
chlam	mixed_high_level	101	chlam_mixed_high_level	mixed_high_level	cmtv	486	5	23	2	21	0.08695652173913043	0.4	0.14285714285714285	0.0	0	0.21892666816711426	ok
chlam	mixed_high_level	101	chlam_mixed_high_level	mixed_high_level	plie	486	5	17	4	13	0.23529411764705882	0.8	0.3636363636363636	0.0	0	0.2932894229888916	ok
chlam	mixed_high_level	202	chlam_mixed_high_level	mixed_high_level	recipient_consensus	0	5	2	2	0	1.0	0.4	0.5714285714285715	0.0851063829787234	0	0.0	ok
chlam	mixed_high_level	202	chlam_mixed_high_level	mixed_high_level	gcp	486	5	8	4	4	0.5	0.8	0.6153846153846154	0.0	0	0.22756719589233398	ok
chlam	mixed_high_level	202	chlam_mixed_high_level	mixed_high_level	cmtv	486	5	25	1	24	0.04	0.2	0.06666666666666667	0.0	0	0.2225797176361084	ok
chlam	mixed_high_level	202	chlam_mixed_high_level	mixed_high_level	plie	486	5	29	4	25	0.13793103448275862	0.8	0.2352941176470588	0.0	0	0.3064393997192383	ok
