lineage	scope	scenario	approach	n_panels	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	n_true_positive_mean	n_true_positive_std	n_false_positive_mean	n_false_positive_std
chlam	mixed_high_level	mixed_high_level	cmtv	3	0.05565217391304348	0.02213551662844844	0.26666666666666666	0.09428090415820634	0.09206349206349206	0.03591653491741194	1.3333333333333333	0.4714045207910317	23.0	1.4142135623730951
chlam	mixed_high_level	mixed_high_level	gcp	3	0.6388888888888888	0.10393492741038726	0.7333333333333334	0.09428090415820638	0.6697746697746697	0.045730968048367196	3.6666666666666665	0.4714045207910317	2.3333333333333335	1.247219128924647
chlam	mixed_high_level	mixed_high_level	plie	3	0.20133146096634938	0.044868914324880396	0.7333333333333334	0.09428090415820638	0.3107546048722519	0.0547739735067927	3.6666666666666665	0.4714045207910317	16.0	6.48074069840786
chlam	mixed_high_level	mixed_high_level	recipient_consensus	3	1.0	0.0	0.4000000000000001	5.551115123125783e-17	0.5714285714285715	0.0	2.0	0.0	0.0	0.0
chlam	order	combined	cmtv	3	0.011904761904761904	0.016835875742536845	0.08333333333333333	0.11785113019775792	0.020833333333333332	0.02946278254943948	0.3333333333333333	0.4714045207910317	25.666666666666668	0.9428090415820634
chlam	order	combined	gcp	3	0.416005291005291	0.029710419901079622	0.8333333333333334	0.11785113019775792	0.5536130536130536	0.04745751298718489	3.3333333333333335	0.4714045207910317	4.666666666666667	0.4714045207910317
chlam	order	combined	plie	3	0.160351966873706	0.03910276498240599	0.9166666666666666	0.11785113019775792	0.2723765432098766	0.06189214392023297	3.6666666666666665	0.4714045207910317	20.0	3.7416573867739413
chlam	order	combined	recipient_consensus	3	1.0	0.0	0.75	0.2041241452319315	0.8412698412698413	0.13654484550861315	3.0	0.816496580927726	0.0	0.0
chlam	order	replacement_only	cmtv	3	0.05092592592592592	0.045830995076905856	0.3333333333333333	0.31180478223116176	0.08832565284178186	0.07991402904435983	1.3333333333333333	1.247219128924647	22.666666666666668	1.247219128924647
chlam	order	replacement_only	gcp	3	0.5793650793650794	0.06827242275430655	0.9166666666666666	0.11785113019775792	0.709090909090909	0.08265564664839915	3.6666666666666665	0.4714045207910317	2.6666666666666665	0.4714045207910317
chlam	order	replacement_only	plie	3	0.19239766081871346	0.018695166506603255	1.0	0.0	0.3222912353347136	0.02653192931227204	4.0	0.0	17.0	2.160246899469287
chlam	order	replacement_only	recipient_consensus	3	1.0	0.0	0.5	0.2041241452319315	0.6412698412698412	0.18748981663788444	2.0	0.816496580927726	0.0	0.0
flavo	family	combined	cmtv	3	0.08739495798319329	0.0011884147582967208	0.75	0.0	0.1565452091767881	0.001908520327089202	3.0	0.0	31.333333333333332	0.4714045207910317
flavo	family	combined	gcp	3	0.416005291005291	0.029710419901079622	0.8333333333333334	0.11785113019775792	0.5536130536130536	0.04745751298718489	3.3333333333333335	0.4714045207910317	4.666666666666667	0.4714045207910317
flavo	family	combined	plie	3	0.1462820512820513	0.015256948923909991	0.9166666666666666	0.11785113019775792	0.2522714833059661	0.02712105998302634	3.6666666666666665	0.4714045207910317	21.333333333333332	0.4714045207910317
flavo	family	combined	recipient_consensus	3	1.0	0.0	0.25	0.0	0.4000000000000001	5.551115123125783e-17	1.0	0.0	0.0	0.0
flavo	family	replacement_only	cmtv	3	0.06125594177064766	0.026269994154756046	0.5	0.2041241452319315	0.1091354512407144	0.046560296986603626	2.0	0.816496580927726	31.0	1.632993161855452
flavo	family	replacement_only	gcp	3	0.6166666666666667	0.10274023338281628	0.8333333333333334	0.11785113019775792	0.6944444444444443	0.03928371006591935	3.3333333333333335	0.4714045207910317	2.3333333333333335	1.247219128924647
flavo	family	replacement_only	plie	3	0.15358395989974935	0.007633543787790068	0.75	0.2041241452319315	0.25298461880171025	0.02259701417805261	3.0	0.816496580927726	16.333333333333332	3.681787005729087
flavo	family	replacement_only	recipient_consensus	3	1.0	0.0	0.4166666666666667	0.11785113019775792	0.5777777777777778	0.12570787221094176	1.6666666666666667	0.4714045207910317	0.0	0.0
flavo	genus	combined	cmtv	3	0.04798280423280423	0.011849611377657804	0.4166666666666667	0.11785113019775792	0.08603988603988603	0.021581079047755698	1.6666666666666667	0.4714045207910317	32.666666666666664	1.247219128924647
flavo	genus	combined	gcp	3	0.4238095238095238	0.16092138332110284	0.6666666666666666	0.31180478223116176	0.5164983164983165	0.21447362156941982	2.6666666666666665	1.247219128924647	3.3333333333333335	0.4714045207910317
flavo	genus	combined	plie	3	0.15365369946605645	0.04044001349839581	0.8333333333333334	0.11785113019775792	0.2589816203009606	0.0631333165375055	3.3333333333333335	0.4714045207910317	19.0	2.943920288775949
flavo	genus	combined	recipient_consensus	3	1.0	0.0	0.4166666666666667	0.11785113019775792	0.5777777777777778	0.12570787221094176	1.6666666666666667	0.4714045207910317	0.0	0.0
flavo	genus	replacement_only	cmtv	3	0.0392156862745098	0.01386483884679505	0.3333333333333333	0.11785113019775792	0.07017543859649122	0.024810764252159563	1.3333333333333333	0.4714045207910317	32.666666666666664	0.4714045207910317
flavo	genus	replacement_only	gcp	3	0.39285714285714285	0.025253813613805257	0.75	0.0	0.5151515151515151	0.021427478217774146	3.0	0.0	4.666666666666667	0.4714045207910317
flavo	genus	replacement_only	plie	3	0.13975279106858055	0.013641375912724081	0.75	0.0	0.23530817009077876	0.019286701282311906	3.0	0.0	18.666666666666668	2.0548046676563256
flavo	genus	replacement_only	recipient_consensus	3	1.0	0.0	0.4166666666666667	0.11785113019775792	0.5777777777777778	0.12570787221094176	1.6666666666666667	0.4714045207910317	0.0	0.0
flavo	mixed_high_level	mixed_high_level	cmtv	3	0.059131237499358946	0.004276662749759346	0.4000000000000001	5.551115123125783e-17	0.10297110297110297	0.006486519108876363	2.0	0.0	32.0	2.449489742783178
flavo	mixed_high_level	mixed_high_level	gcp	3	0.753968253968254	0.05611958580845616	1.0	0.0	0.8585858585858585	0.035712463696290296	5.0	0.0	1.6666666666666667	0.4714045207910317
flavo	mixed_high_level	mixed_high_level	plie	3	0.2246376811594203	0.0358677352775785	0.9333333333333332	0.09428090415820632	0.36190476190476195	0.05387480237611792	4.666666666666667	0.4714045207910317	16.333333333333332	1.8856180831641267
flavo	mixed_high_level	mixed_high_level	recipient_consensus	3	1.0	0.0	0.5333333333333333	0.09428090415820632	0.6904761904761904	0.08417937871268413	2.6666666666666665	0.4714045207910317	0.0	0.0
flavo	order	combined	cmtv	3	0.06955266955266955	0.015167311219014042	0.5833333333333334	0.11785113019775792	0.12427812427812428	0.026883504783508705	2.3333333333333335	0.4714045207910317	31.333333333333332	1.247219128924647
flavo	order	combined	gcp	3	0.5238095238095238	0.033671751485073675	0.9166666666666666	0.11785113019775792	0.6646464646464647	0.051978506384923684	3.6666666666666665	0.4714045207910317	3.3333333333333335	0.4714045207910317
flavo	order	combined	plie	3	0.15470761122935037	0.015341579129547502	0.9166666666666666	0.11785113019775792	0.26457739791073126	0.026792074227253385	3.6666666666666665	0.4714045207910317	20.0	1.4142135623730951
flavo	order	combined	recipient_consensus	3	1.0	0.0	0.3333333333333333	0.11785113019775792	0.48888888888888893	0.12570787221094176	1.3333333333333333	0.4714045207910317	0.0	0.0
flavo	order	replacement_only	cmtv	3	0.04961378490790256	0.03685095544464809	0.4166666666666667	0.31180478223116176	0.08866761498340446	0.06590971886000908	1.6666666666666667	1.247219128924647	31.666666666666668	0.9428090415820634
flavo	order	replacement_only	gcp	3	0.6031746031746031	0.04489566864676491	1.0	0.0	0.7515151515151516	0.03428396514843868	4.0	0.0	2.6666666666666665	0.4714045207910317
flavo	order	replacement_only	plie	3	0.1717171717171717	0.007142492739258063	1.0	0.0	0.29304029304029305	0.010360538918484229	4.0	0.0	19.333333333333332	0.9428090415820634
flavo	order	replacement_only	recipient_consensus	3	1.0	0.0	0.5	0.2041241452319315	0.6412698412698412	0.18748981663788442	2.0	0.816496580927726	0.0	0.0
gamma	family	combined	cmtv	3	0.05766057916595551	0.014853581665220097	0.4166666666666667	0.11785113019775792	0.10126728110599077	0.02635253768490881	1.6666666666666667	0.4714045207910317	27.0	1.4142135623730951
gamma	family	combined	gcp	3	0.1416666666666667	0.04249182927993988	0.3333333333333333	0.11785113019775792	0.19841269841269846	0.062492125984220735	1.3333333333333333	0.4714045207910317	8.0	0.816496580927726
gamma	family	combined	plie	3	0.08660180399310835	0.037671244118651845	0.5	0.2041241452319315	0.14757834757834756	0.06365975579913076	2.0	0.816496580927726	21.666666666666668	2.3570226039551585
gamma	family	combined	recipient_consensus	3	1.0	0.0	0.4166666666666667	0.11785113019775792	0.5777777777777778	0.12570787221094176	1.6666666666666667	0.4714045207910317	0.0	0.0
gamma	family	replacement_only	cmtv	3	0.060052910052910045	0.03611668271067036	0.4444444444444444	0.21872244094477253	0.105629348513599	0.06221157144054042	1.6666666666666667	0.9428090415820634	26.666666666666668	2.0548046676563256
gamma	family	replacement_only	gcp	3	0.19523809523809524	0.07589227357385346	0.47222222222222215	0.17123372230469378	0.27139527139527136	0.09371578385356173	1.6666666666666667	0.4714045207910317	7.333333333333333	1.699673171197595
gamma	family	replacement_only	plie	3	0.08585858585858586	0.06813503819814162	0.38888888888888884	0.2832788618662658	0.1366666666666667	0.10338708279513882	1.3333333333333333	0.9428090415820634	17.333333333333332	5.2493385826745405
gamma	family	replacement_only	recipient_consensus	3	1.0	0.0	0.4166666666666667	0.23570226039551584	0.5523809523809523	0.2154992095044716	1.6666666666666667	0.9428090415820634	0.0	0.0
gamma	genus	combined	cmtv	3	0.012820512820512822	0.018130943107347374	0.08333333333333333	0.11785113019775792	0.022222222222222227	0.031426968052735454	0.3333333333333333	0.4714045207910317	27.0	2.160246899469287
gamma	genus	combined	gcp	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.816496580927726
gamma	genus	combined	plie	3	0.04089026915113871	0.0036599729875080103	0.25	0.0	0.07021604938271606	0.005456070842488797	1.0	0.0	23.666666666666668	2.3570226039551585
gamma	genus	combined	recipient_consensus	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gamma	genus	replacement_only	cmtv	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.666666666666668	0.4714045207910317
gamma	genus	replacement_only	gcp	3	0.05555555555555555	0.07856742013183861	0.08333333333333333	0.11785113019775792	0.06666666666666667	0.09428090415820635	0.3333333333333333	0.4714045207910317	6.0	0.816496580927726
gamma	genus	replacement_only	plie	3	0.012345679012345678	0.017459426695964134	0.08333333333333333	0.11785113019775792	0.02150537634408602	0.030413194889743977	0.3333333333333333	0.4714045207910317	24.0	1.632993161855452
